"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2018년 02월 08일","805.40","752.75","831.02","751.76","1.25M","6.93%"
"2018년 02월 07일","753.18","782.72","852.98","719.34","1.98M","-3.91%"
"2018년 02월 06일","783.83","696.75","797.94","568.78","4.29M","12.48%"
"2018년 02월 05일","696.86","828.49","859.72","634.64","2.99M","-15.98%"
"2018년 02월 04일","829.43","971.49","972.66","788.79","1.34M","-14.62%"
"2018년 02월 03일","971.49","920.93","997.51","850.38","1.07M","5.50%"
"2018년 02월 02일","920.85","1,033.02","1,036.17","766.82","3.03M","-10.90%"
"2018년 02월 01일","1,033.55","1,118.15","1,157.09","970.42","1.76M","-7.56%"
"2018년 01월 31일","1,118.08","1,072.17","1,126.87","1,028.03","990.74K","4.31%"
"2018년 01월 30일","1,071.90","1,174.36","1,178.92","1,042.90","1.42M","-8.77%"
"2018년 01월 29일","1,175.00","1,245.50","1,259.80","1,155.90","488.44K","-5.74%"
"2018년 01월 28일","1,246.60","1,114.70","1,264.80","1,109.00","662.74K","11.82%"
"2018년 01월 27일","1,114.80","1,046.90","1,125.30","1,031.60","370.17K","6.48%"
"2018년 01월 26일","1,047.00","1,048.20","1,078.60","983.00","485.47K","-0.11%"
"2018년 01월 25일","1,048.20","1,061.80","1,102.40","1,025.10","567.30K","-1.41%"
"2018년 01월 24일","1,063.20","982.11","1,068.80","952.04","606.14K","8.16%"
"2018년 01월 23일","982.98","995.26","1,022.00","905.38","798.28K","-1.22%"
"2018년 01월 22일","995.08","1,047.00","1,084.10","912.76","835.88K","-4.96%"
"2018년 01월 21일","1,047.00","1,146.30","1,146.30","1,001.50","691.69K","-8.64%"
"2018년 01월 20일","1,146.00","1,032.60","1,160.00","1,029.60","573.52K","10.98%"
"2018년 01월 19일","1,032.60","993.92","1,079.00","960.10","612.19K","3.80%"
"2018년 01월 18일","994.81","1,020.10","1,079.00","940.00","1.31M","-2.23%"
"2018년 01월 17일","1,017.50","1,019.60","1,088.30","770.10","2.40M","-0.25%"
"2018년 01월 16일","1,020.10","1,275.80","1,278.80","868.98","2.35M","-19.89%"
"2018년 01월 15일","1,273.40","1,349.90","1,377.90","1,264.40","481.87K","-5.67%"
"2018년 01월 14일","1,350.00","1,379.90","1,385.00","1,256.00","618.61K","-2.17%"
"2018년 01월 13일","1,380.00","1,257.00","1,423.20","1,252.60","709.74K","9.77%"
"2018년 01월 12일","1,257.20","1,135.10","1,285.00","1,083.40","732.33K","10.72%"
"2018년 01월 11일","1,135.50","1,245.90","1,331.80","1,102.50","1.26M","-9.01%"
"2018년 01월 10일","1,248.00","1,285.70","1,381.90","1,203.20","1.33M","-2.78%"
"2018년 01월 09일","1,283.70","1,129.40","1,299.00","1,119.10","1.04M","13.67%"
"2018년 01월 08일","1,129.30","1,115.90","1,225.00","968.12","1.54M","1.21%"
"2018년 01월 07일","1,115.80","1,004.30","1,116.00","999.50","699.39K","11.10%"
"2018년 01월 06일","1,004.30","962.77","1,014.20","951.38","447.26K","4.31%"
"2018년 01월 05일","962.77","939.30","1,023.60","930.00","1.04M","2.42%"
"2018년 01월 04일","940.00","942.01","997.00","893.24","1.22M","-0.21%"
"2018년 01월 03일","942.01","858.78","954.73","840.00","1.09M","9.69%"
"2018년 01월 02일","858.78","752.46","890.00","752.46","1.47M","14.13%"
"2018년 01월 01일","752.46","736.77","762.00","717.94","425.46K","2.13%"
"2017년 12월 31일","736.77","682.22","741.99","675.56","536.84K","8.00%"
"2017년 12월 30일","682.22","731.52","737.56","640.43","936.94K","-6.74%"
"2017년 12월 29일","731.52","711.42","755.00","703.02","716.87K","2.83%"
"2017년 12월 28일","711.42","736.45","740.30","652.00","893.82K","-3.40%"
"2017년 12월 27일","736.45","749.80","766.06","703.27","587.33K","-1.78%"
"2017년 12월 26일","749.80","709.81","749.80","708.83","521.74K","5.63%"
"2017년 12월 25일","709.81","659.89","737.00","651.76","764.73K","7.56%"
"2017년 12월 24일","659.89","672.59","675.00","560.00","1.09M","-1.89%"
"2017년 12월 23일","672.59","628.19","717.00","616.19","842.43K","7.07%"
"2017년 12월 22일","628.19","786.97","792.00","492.01","2.73M","-20.18%"
"2017년 12월 21일","786.97","794.99","848.08","747.10","1.20M","-1.01%"
"2017년 12월 20일","794.99","799.98","826.20","709.00","1.48M","-0.62%"
